City,County,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,medianHome,medianMortgage,medianNonMort,medianRent,retail,medianIncome,perCapIncome,householdSize,commuteTime,popdensity,population
Adelanto,San Bernardino,70,30,51712,55093,2502384,77,32500,0.182,0.003,0.015,0.001,0.053,0.595,0.151,0.78,0.215,0.47,0.481,0.647,0.061,0.14,0.422,129900,1165,365,1034,2587,29647,10230,3.81,41,596.1613998,33391
Agoura Hills,Los Angeles,109,0,NA,NA,1162176,56,85320,0.015,0,0.064,0,0.03,0.126,0.765,0.141,0.176,0.758,0.198,0.948,0.537,0.044,0.061,699200,2825,818,1998,18132,114313,53706,2.8,29.7,2663.029525,20745
Alameda,Alameda,923,502,104159,141926,81284590,1050,70254,0.075,0.003,0.303,0.007,0.075,0.116,0.422,0.194,0.266,0.468,0.339,0.909,0.503,0.084,0.095,677000,2760,661,1478,6507,83048,45590,2.48,32,7436.946277,78906
Alhambra,Los Angeles,637,309,86120,116731,48810631,575,38366,0.018,0.004,0.497,0.002,0.029,0.361,0.089,0.383,0.498,0.404,0.734,0.812,0.33,0.151,0.154,518800,2171,488,1235,19409,53138,25913,2.89,30.3,11202.35911,85474
Aliso Viejo,Orange,30,15,90539,113334,2595232,51,80758,0.021,0.005,0.156,0,0.064,0.159,0.596,0.185,0.214,0.599,0.283,0.968,0.575,0.061,0.048,539000,2666,744,1933,10109,103261,46026,2.68,26,6884.069612,51424
American Canyon,Napa,171,67,74634,88027,7672001,377,50961,0.077,0.005,0.343,0.004,0.065,0.265,0.24,0.347,0.335,0.765,0.478,0.839,0.292,0.07,0.097,374200,2361,503,1616,10814,83673,30596,3.57,33.4,4225.619835,20452
Anaheim,Orange,3488,1768,107182,144275,318768103,919,37776,0.022,0.004,0.157,0.005,0.03,0.527,0.255,0.553,0.369,0.453,0.618,0.76,0.248,0.191,0.162,457600,2276,518,1402,10948,61826,24996,3.42,28.4,7043.398876,351043
Anderson,Shasta,77,53,57252,79927,4904477,482,31414,0.005,0.023,0.023,0.001,0.053,0.137,0.758,0.165,0.034,0.503,0.081,0.872,0.073,0.157,0.217,158000,1146,335,803,20227,35216,17993,2.5,17.8,1606.279435,10232
Antioch,Contra Costa,545,231,104965,150746,43150595,397,47998,0.188,0.01,0.097,0.009,0.085,0.312,0.299,0.51,0.219,0.608,0.342,0.87,0.214,0.102,0.143,291400,1992,456,1439,8902,65530,26385,3.18,45.2,3911.746032,110898
Apple Valley,San Bernardino,262,82,65712,90021,10755432,150,41418,0.08,0.011,0.03,0,0.045,0.328,0.507,0.419,0.09,0.64,0.18,0.85,0.165,0.11,0.198,194100,1432,475,955,8460,47433,23648,3.02,31.5,991.2966252,72553
