City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Adelanto,San Bernardino,70,30,51.712,55.093,2.502384,0.077,32.5,129.9,1.165,0.365,1.034,2.587,29.647,10.23,0.5961614,33.391,0.182,0.003,0.015,0.001,0.053,0.595,0.151,0.78,0.215,0.47,0.481,0.647,0.061,0.14,0.422,3.81,41
Agoura Hills,Los Angeles,109,0,NA,NA,1.162176,0.056,85.32,699.2,2.825,0.818,1.998,18.132,114.313,53.706,2.663029525,20.745,0.015,0,0.064,0,0.03,0.126,0.765,0.141,0.176,0.758,0.198,0.948,0.537,0.044,0.061,2.8,29.7
Alameda,Alameda,923,502,104.159,141.926,81.28459,1.05,70.254,677,2.76,0.661,1.478,6.507,83.048,45.59,7.436946277,78.906,0.075,0.003,0.303,0.007,0.075,0.116,0.422,0.194,0.266,0.468,0.339,0.909,0.503,0.084,0.095,2.48,32
Alhambra,Los Angeles,637,309,86.12,116.731,48.810631,0.575,38.366,518.8,2.171,0.488,1.235,19.409,53.138,25.913,11.20235911,85.474,0.018,0.004,0.497,0.002,0.029,0.361,0.089,0.383,0.498,0.404,0.734,0.812,0.33,0.151,0.154,2.89,30.3
Aliso Viejo,Orange,30,15,90.539,113.334,2.595232,0.051,80.758,539,2.666,0.744,1.933,10.109,103.261,46.026,6.884069612,51.424,0.021,0.005,0.156,0,0.064,0.159,0.596,0.185,0.214,0.599,0.283,0.968,0.575,0.061,0.048,2.68,26
American Canyon,Napa,171,67,74.634,88.027,7.672001,0.377,50.961,374.2,2.361,0.503,1.616,10.814,83.673,30.596,4.225619835,20.452,0.077,0.005,0.343,0.004,0.065,0.265,0.24,0.347,0.335,0.765,0.478,0.839,0.292,0.07,0.097,3.57,33.4
Anaheim,Orange,3488,1768,107.182,144.275,318.768103,0.919,37.776,457.6,2.276,0.518,1.402,10.948,61.826,24.996,7.043398876,351.043,0.022,0.004,0.157,0.005,0.03,0.527,0.255,0.553,0.369,0.453,0.618,0.76,0.248,0.191,0.162,3.42,28.4
Anderson,Shasta,77,53,57.252,79.927,4.904477,0.482,31.414,158,1.146,0.335,0.803,20.227,35.216,17.993,1.606279435,10.232,0.005,0.023,0.023,0.001,0.053,0.137,0.758,0.165,0.034,0.503,0.081,0.872,0.073,0.157,0.217,2.5,17.8
Antioch,Contra Costa,545,231,104.965,150.746,43.150595,0.397,47.998,291.4,1.992,0.456,1.439,8.902,65.53,26.385,3.911746032,110.898,0.188,0.01,0.097,0.009,0.085,0.312,0.299,0.51,0.219,0.608,0.342,0.87,0.214,0.102,0.143,3.18,45.2
Apple Valley,San Bernardino,262,82,65.712,90.021,10.755432,0.15,41.418,194.1,1.432,0.475,0.955,8.46,47.433,23.648,0.991296625,72.553,0.08,0.011,0.03,0,0.045,0.328,0.507,0.419,0.09,0.64,0.18,0.85,0.165,0.11,0.198,3.02,31.5
Arcadia,Los Angeles,462,264,100.18,145.065,43.952544,0.761,57.356,920.7,3.151,0.734,1.46,14.963,83.958,40.012,5.354345837,58.523,0.018,0.002,0.588,0.003,0.036,0.12,0.233,0.14,0.479,0.594,0.623,0.919,0.52,0.091,0.095,2.97,31.1
Arcata,Humboldt,323,102,54.881,78.765,10.906594,0.613,40.577,322.7,1.464,0.424,0.887,9.565,31.18,20.245,1.975164835,17.974,0.025,0.022,0.021,0.002,0.066,0.164,0.7,0.211,0.039,0.347,0.152,0.935,0.494,0.15,0.401,2.25,17.3
Arroyo Grande,San Luis Obispo,141,65,72.026,92.858,8.447616,0.473,50.75,472.4,2.131,0.493,1.126,17.978,64.261,35.275,3.09880137,18.097,0.008,0.007,0.071,0,0.032,0.153,0.73,0.168,0.109,0.691,0.152,0.932,0.369,0.083,0.065,2.46,21.3
Artesia,Los Angeles,47,28,54.143,69.584,2.339193,0.139,39.828,419.5,2.036,0.355,1.396,12.335,58.651,22.47,10.41604938,16.874,0.024,0.002,0.367,0.002,0.036,0.372,0.196,0.398,0.481,0.515,0.668,0.785,0.267,0.171,0.136,3.5,27.4
Arvin,Kern,64,40,72.202,84.86,4.215425,0.205,20.408,116.9,1.082,0.33,0.814,2.389,36.524,10.685,4.374688797,21.086,0.014,0,0.001,0.005,0.017,0.905,0.059,0.919,0.424,0.459,0.882,0.355,0.022,0.232,0.284,4.39,28.4
Atascadero,San Luis Obispo,220,109,79.258,101.569,13.231107,0.448,49.176,397.4,2.022,0.486,1.216,10.36,69.587,33.655,1.182917317,30.33,0.012,0.003,0.022,0.002,0.03,0.166,0.766,0.181,0.061,0.608,0.116,0.933,0.316,0.099,0.092,2.59,22.7
Atherton,San Mateo,47,34,133.758,168.648,6.0824,0.853,208.917,NA,NA,NA,3.095,12.878,NA,146.572,1.435657371,7.207,0.004,0.004,0.144,0.001,0.05,0.051,0.747,0.059,0.185,0.929,0.184,0.974,0.796,0.014,0.045,2.84,24.6
Atwater,Merced,175,48,71.912,94.188,7.155843,0.247,31.582,160.2,1.308,0.392,0.897,8.958,45.8,18.417,4.806239737,29.27,0.03,0.008,0.051,0,0.041,0.542,0.327,0.58,0.219,0.508,0.476,0.725,0.137,0.135,0.234,3.22,24.9
Auburn,Placer,107,60,80.974,120.078,9.254357,0.667,37.163,371,1.966,0.549,1.066,20.794,54.227,36.613,1.955602241,13.963,0.005,0.004,0.021,0,0.064,0.088,0.817,0.097,0.066,0.552,0.103,0.923,0.342,0.095,0.129,2.2,24.3
Avenal,Kings,60,42,64.881,81.853,4.255377,0.313,28.267,120.4,1.058,0.336,0.726,1.636,35.103,7.992,0.641915551,12.466,0.065,0.013,0.013,0.001,0.029,0.764,0.115,0.842,0.339,0.424,0.682,0.481,0.027,0.196,0.328,4.22,33.1
Azusa,Los Angeles,422,219,100.943,116.057,32.851709,0.677,34.764,342,1.923,0.407,1.274,9.93,56.569,19.432,5.13747412,49.628,0.028,0.005,0.105,0.002,0.037,0.62,0.203,0.653,0.293,0.531,0.561,0.787,0.198,0.159,0.162,3.49,28
Bakersfield,Kern,1846,1333,72.299,104.49,167.636501,0.456,40.366,214.6,1.585,0.459,1.005,14.679,58.669,24.392,2.647580191,376.38,0.076,0.013,0.07,0.002,0.035,0.469,0.336,0.558,0.19,0.568,0.41,0.796,0.213,0.131,0.197,3.2,22.6
Baldwin Park,Los Angeles,400,153,71.993,100.099,20.164655,0.263,31.153,333.5,1.748,0.381,1.277,7.005,53.651,16.44,11.53303167,76.464,0.02,0.011,0.172,0.003,0.02,0.737,0.038,0.768,0.443,0.571,0.824,0.647,0.118,0.212,0.161,4.32,30.4
Banning,Riverside,226,130,72.867,101.274,16.598814,0.541,31.058,177,1.238,0.483,0.968,5.83,40.627,19.529,1.343116883,31.026,0.082,0.03,0.046,0.001,0.032,0.423,0.386,0.535,0.169,0.648,0.319,0.792,0.153,0.19,0.232,2.69,25.5
Barstow,San Bernardino,217,117,96.945,111.126,17.536056,0.748,34.978,96,1.077,0.356,0.714,29.182,37.085,16.897,0.5760029,23.835,0.143,0.017,0.031,0.02,0.064,0.436,0.289,0.596,0.096,0.451,0.267,0.773,0.117,0.112,0.367,3.11,23
Beaumont,Riverside,164,105,71.955,84.406,10.972459,0.26,45.422,250.5,1.924,0.557,1.205,8.841,68.369,26.066,1.467130379,45.349,0.051,0.008,0.08,0.002,0.055,0.407,0.398,0.466,0.178,0.735,0.324,0.867,0.245,0.105,0.113,3.29,32.3
Bell,Los Angeles,191,64,79.87,107.63,8.215471,0.228,27.709,322.9,1.784,0.457,1.023,3.588,38.823,12.972,14.3456,35.864,0.015,0.004,0.01,0.003,0.012,0.912,0.044,0.931,0.419,0.283,0.895,0.493,0.069,0.257,0.253,3.96,30.7
Bellflower,Los Angeles,239,77,68.068,86.368,10.067641,0.129,37.081,367.3,1.989,0.411,1.195,7.13,50.704,21.527,12.71078431,77.79,0.132,0.005,0.126,0.001,0.041,0.537,0.159,0.674,0.309,0.388,0.548,0.779,0.177,0.169,0.17,3.31,29.2
Bell Gardens,Los Angeles,280,120,76.037,107.236,17.352528,0.405,23.797,318.7,1.671,0.366,1.142,7.513,37.183,11.544,17.40081301,42.806,0.009,0.003,0.008,0,0.01,0.94,0.031,0.952,0.431,0.21,0.906,0.448,0.051,0.273,0.294,4.42,28.7
Belmont,San Mateo,195,106,105.375,129.147,18.19101,0.675,105.732,1074.6,3.555,0.699,1.784,11.035,120.169,61.617,5.861688312,27.081,0.012,0.001,0.246,0.003,0.059,0.127,0.552,0.14,0.311,0.601,0.381,0.946,0.583,0.048,0.047,2.59,28.7
Benicia,Solano,500,172,83.038,113.529,25.917325,0.932,71.518,475.5,2.279,0.61,1.429,9.722,87.011,44.572,2.17896365,28.174,0.057,0.004,0.122,0.002,0.069,0.152,0.594,0.213,0.123,0.676,0.16,0.955,0.424,0.062,0.071,2.52,33.1
Berkeley,Alameda,2181,1122,95.938,140.723,196.389407,1.656,71.53,795.2,2.869,0.786,1.434,11.62,70.393,44.611,11.57975167,121.24,0.083,0.005,0.189,0.003,0.066,0.109,0.546,0.197,0.206,0.426,0.28,0.959,0.718,0.063,0.199,2.31,28.3
Beverly Hills,Los Angeles,1218,738,96.912,129.606,126.357426,3.649,84.665,1900.5,NA,NA,1.988,84.116,100.63,78.343,6.074781086,34.687,0.012,0.001,0.094,0,0.049,0.057,0.788,0.07,0.388,0.413,0.52,0.959,0.613,0.09,0.102,2.37,23.8
Big Bear Lake,San Bernardino,116,79,69.908,114.314,10.458444,2.031,37.365,384.1,1.843,0.617,0.925,31.856,46.655,31.98,0.824409449,5.235,0.013,0.004,0.01,0.019,0.004,0.223,0.727,0.24,0.131,0.558,0.177,0.902,0.255,0.213,0.185,2.37,18.4
Bishop,Inyo,151,33,85.884,111.659,4.727508,1.233,41.038,384.1,1.843,0.617,0.925,31.856,46.655,31.98,0.824409449,5.235,0.013,0.004,0.01,0.019,0.004,0.223,0.727,0.24,0.131,0.558,0.177,0.902,0.255,0.213,0.185,2.37,18.4
Blythe,Riverside,110,50,61.668,80.646,5.543215,0.281,32.107,126.3,1.341,0.371,0.714,8.111,40.448,14.571,0.751928217,19.693,0.128,0.007,0.022,0.003,0.028,0.545,0.268,0.68,0.176,0.512,0.435,0.703,0.087,0.16,0.237,2.64,16.9
Brawley,Imperial,262,97,61.518,85.086,13.658473,0.529,34.185,150.1,1.306,0.453,0.775,5.552,40.745,16.838,3.404817708,26.149,0.014,0.006,0.01,0.002,0.047,0.792,0.13,0.812,0.254,0.535,0.668,0.718,0.115,0.139,0.285,3.62,19.4
Brea,Orange,541,278,95.245,126.552,44.096285,1.066,60.725,579.6,2.47,0.619,1.616,31.252,85.555,38.543,3.515811258,42.471,0.015,0.006,0.196,0,0.045,0.289,0.449,0.31,0.204,0.608,0.297,0.931,0.438,0.1,0.072,2.81,32.3
Brentwood,Contra Costa,457,246,97.953,123.562,36.671732,0.644,61.371,428.5,2.496,0.73,1.977,10.381,94.13,35.013,4.092765382,60.532,0.074,0.001,0.08,0.002,0.071,0.257,0.516,0.332,0.156,0.717,0.229,0.906,0.283,0.057,0.074,3.15,42.6
Brisbane,San Mateo,181,71,105.817,127.09,10.541403,2.307,73.268,428.5,2.496,0.73,1.977,10.381,94.13,35.013,4.092765382,60.532,0.074,0.001,0.08,0.002,0.071,0.257,0.516,0.332,0.156,0.717,0.229,0.906,0.283,0.057,0.074,3.15,42.6
Buellton,Santa Barbara,40,17,72.179,92.348,2.017316,0.401,47.813,410.2,1.988,0.393,1.357,26.173,71.932,31.326,3.224683544,5.095,0.025,0.012,0.011,0,0.039,0.315,0.598,0.352,0.169,0.702,0.261,0.871,0.311,0.155,0.05,2.63,22
Buena Park,Orange,518,228,93.597,119.268,34.226965,0.413,41.363,448.9,2.178,0.435,1.421,21.071,70.341,25.236,7.904562738,83.156,0.03,0.005,0.282,0.007,0.032,0.392,0.252,0.427,0.37,0.556,0.553,0.819,0.291,0.16,0.141,3.51,29.8
Burbank,Los Angeles,1791,973,96.485,126.714,165.039838,1.578,56.495,611,2.651,0.524,1.446,22.193,67.317,35.959,6.023471742,104.447,0.025,0.004,0.113,0,0.048,0.247,0.563,0.276,0.342,0.412,0.47,0.887,0.4,0.133,0.115,2.5,26.9
Burlingame,San Mateo,393,216,86.444,115.691,30.809753,1.022,94.432,1447.4,NA,0.841,1.789,26.177,102.443,64.525,6.870975057,30.301,0.012,0.004,0.235,0.004,0.064,0.115,0.566,0.131,0.278,0.466,0.342,0.963,0.605,0.065,0.072,2.43,29
Calabasas,Los Angeles,278,82,73.409,100.358,11.148443,0.462,91.151,926.8,3.87,1.054,2.191,24.941,111.111,60.035,1.874108527,24.176,0.022,0.002,0.1,0,0.053,0.071,0.752,0.095,0.25,0.693,0.266,0.977,0.64,0.047,0.069,2.74,32.7
Calexico,Imperial,148,112,81.559,111.088,13.722918,0.345,29.653,165.3,1.333,0.372,0.839,10.999,34.734,13.365,4.79523242,40.232,0.002,0,0.009,0,0.028,0.945,0.017,0.947,0.46,0.509,0.96,0.589,0.145,0.208,0.263,4.28,22.6
California City,Kern,185,91,62.441,85.421,9.6436,0.721,38.75,93,1.155,0.363,0.862,3.255,48.776,19.849,0.067349646,13.707,0.202,0.014,0.045,0.001,0.062,0.264,0.413,0.48,0.141,0.559,0.229,0.79,0.113,0.128,0.263,2.74,33.7
Calimesa,Riverside,20,9,48.825,65.509,0.935767,0.111,55.083,168.7,1.582,0.468,0.99,8.571,46.07,26.436,0.58020202,8.616,0.011,0.018,0.025,0.001,0.032,0.247,0.667,0.276,0.079,0.839,0.145,0.894,0.151,0.161,0.163,2.5,34.6
Calipatria,Imperial,42,8,51.484,64.038,0.94689,0.126,36.05,93.2,0.915,0.275,0.722,0.927,34.8,6.556,2.02311828,7.526,0.152,0.003,0.009,0.001,0.056,0.726,0.053,0.881,0.215,0.498,0.658,0.584,0.03,0.119,0.335,3.75,18.8
Calistoga,Napa,150,37,92.728,108.688,5.706695,1.08,38.98,475.8,2.403,0.676,1.153,13.167,60.534,34.876,2.042692308,5.311,0.005,0.01,0.029,0.002,0.003,0.483,0.469,0.498,0.373,0.589,0.532,0.763,0.259,0.17,0.089,2.6,17.5
Camarillo,Ventura,192,119,96.878,128.064,18.746591,0.281,59.457,493.8,2.373,0.557,1.763,23.144,88.125,40.25,3.449206349,67.363,0.02,0.002,0.099,0,0.056,0.242,0.579,0.264,0.147,0.674,0.224,0.922,0.404,0.079,0.062,2.72,23.5
Campbell,Santa Clara,490,192,97.844,126.565,26.635977,0.653,75.573,804.5,3.124,0.605,1.821,18.819,103.704,51.269,7.058448276,40.939,0.022,0.004,0.176,0,0.051,0.184,0.562,0.21,0.243,0.501,0.308,0.936,0.515,0.077,0.068,2.58,25.5
Canyon Lake,Riverside,19,4,55.352,58.831,0.465225,0.042,55.522,379.4,2.375,0.634,1.708,1.081,84.015,40.072,2.833842239,11.137,0.008,0.003,0.014,0.001,0.023,0.149,0.802,0.16,0.044,0.82,0.073,0.945,0.259,0.058,0.063,2.64,43.7
