City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/adelanto/summary/,,,,,,,,
Agoura Hills,https://transcal.s3.amazonaws.com/public/export/agoura hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/agoura-hills/summary/,,,,,,,,
Alameda,https://transcal.s3.amazonaws.com/public/export/alameda-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/alameda/summary/,,,,,,,,
Albany,https://transcal.s3.amazonaws.com/public/export/albany-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/albany/summary/,,,,,,,,
Alhambra,https://transcal.s3.amazonaws.com/public/export/alhambra-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/alhambra/summary/,,,,,,,,
Aliso Viejo,https://transcal.s3.amazonaws.com/public/export/aliso viejo-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/aliso-viejo/summary/,,,,,,,,
Alturas,https://transcal.s3.amazonaws.com/public/export/alturas-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Modoc,https://transparentcalifornia.com/salaries/2016/alturas/summary/,,,,,,,,
Amador City,https://transcal.s3.amazonaws.com/public/export/amador city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Amador,https://transparentcalifornia.com/salaries/2016/amador-city/summary/,,,,,,,,
American Canyon,https://transcal.s3.amazonaws.com/public/export/american canyon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Napa,https://transparentcalifornia.com/salaries/2016/american-canyon/summary/,,,,,,,,
Anaheim,https://transcal.s3.amazonaws.com/public/export/anaheim-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/anaheim/summary/,,,,,,,,
Anderson,https://transcal.s3.amazonaws.com/public/export/anderson-2016.csv,2016,"2016, 2014, 2013, 2012, 2011",Shasta,https://transparentcalifornia.com/salaries/2016/anderson/summary/,,,,,,,,
Angels Camp,https://transcal.s3.amazonaws.com/public/export/angels camp-2016.csv,2016,"2016, 2015, 2014",Calaveras,https://transparentcalifornia.com/salaries/2016/angels-camp/summary/,,,,,,,,
Antioch,https://transcal.s3.amazonaws.com/public/export/antioch-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/antioch/summary/,,,,,,,,
Apple Valley,https://transcal.s3.amazonaws.com/public/export/apple valley-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/apple-valley/summary/,,,,,,,,
Arcadia,https://transcal.s3.amazonaws.com/public/export/arcadia-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/arcadia/summary/,,,,,,,,
