City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Adelanto,https://transcal.s3.amazonaws.com/public/export/adelanto-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/adelanto/summary/,"32,311",70,30,"$51,712 ","$55,093 ","$2,502,384 ",$77 ,"$32,500 "
Agoura Hills,https://transcal.s3.amazonaws.com/public/export/agoura hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/agoura-hills/summary/,"20,689",109,0,N/A,N/A,"$1,162,176 ",$56 ,"$85,320 "
Alameda,https://transcal.s3.amazonaws.com/public/export/alameda-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/alameda/summary/,"77,409",923,502,"$104,159 ","$141,926 ","$81,284,590 ","$1,050 ","$70,254 "
Albany,https://transcal.s3.amazonaws.com/public/export/albany-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/albany/summary/,"19,420",178,100,"$112,285 ","$143,280 ","$14,510,621 ",$747 ,"$85,962 "
Alhambra,https://transcal.s3.amazonaws.com/public/export/alhambra-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/alhambra/summary/,"84,866",637,309,"$86,120 ","$116,731 ","$48,810,631 ",$575 ,"$38,366 "
Aliso Viejo,https://transcal.s3.amazonaws.com/public/export/aliso viejo-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/aliso-viejo/summary/,"50,219",30,15,"$90,539 ","$113,334 ","$2,595,232 ",$51 ,"$80,758 "
Alturas,https://transcal.s3.amazonaws.com/public/export/alturas-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Modoc,https://transparentcalifornia.com/salaries/2016/alturas/summary/,"2,616",45,16,"$49,914 ","$66,404 ","$1,542,116 ",$589 ,"$26,940 "
Amador City,https://transcal.s3.amazonaws.com/public/export/amador city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Amador,https://transparentcalifornia.com/salaries/2016/amador-city/summary/,174,4,0,N/A,N/A,"$34,722 ",$199 ,"$43,750 "
American Canyon,https://transcal.s3.amazonaws.com/public/export/american canyon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Napa,https://transparentcalifornia.com/salaries/2016/american-canyon/summary/,"20,334",171,67,"$74,634 ","$88,027 ","$7,672,001 ",$377 ,"$50,961 "
Anaheim,https://transcal.s3.amazonaws.com/public/export/anaheim-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/anaheim/summary/,"346,776","3,488","1,768","$107,182 ","$144,275 ","$318,768,103 ",$919 ,"$37,776 "
Anderson,https://transcal.s3.amazonaws.com/public/export/anderson-2016.csv,2016,"2016, 2014, 2013, 2012, 2011",Shasta,https://transparentcalifornia.com/salaries/2016/anderson/summary/,"10,156",77,53,"$57,252 ","$79,927 ","$4,904,477 ",$482 ,"$31,414 "
Angels Camp,https://transcal.s3.amazonaws.com/public/export/angels camp-2016.csv,2016,"2016, 2015, 2014",Calaveras,https://transparentcalifornia.com/salaries/2016/angels-camp/summary/,"3,774",80,32,"$74,554 ","$82,523 ","$3,459,805 ",$916 ,"$39,868 "
Antioch,https://transcal.s3.amazonaws.com/public/export/antioch-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/antioch/summary/,"108,675",545,231,"$104,965 ","$150,746 ","$43,150,595 ",$397 ,"$47,998 "
Apple Valley,https://transcal.s3.amazonaws.com/public/export/apple valley-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/apple-valley/summary/,"71,455",262,82,"$65,712 ","$90,021 ","$10,755,432 ",$150 ,"$41,418 "
Arcadia,https://transcal.s3.amazonaws.com/public/export/arcadia-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/arcadia/summary/,"57,755",462,264,"$100,180 ","$145,065 ","$43,952,544 ",$761 ,"$57,356 "
Arcata,https://transcal.s3.amazonaws.com/public/export/arcata-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Humboldt,https://transparentcalifornia.com/salaries/2016/arcata/summary/,"17,775",323,102,"$54,881 ","$78,765 ","$10,906,594 ",$613 ,"$40,577 "
Arroyo Grande,https://transcal.s3.amazonaws.com/public/export/arroyo grande-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Luis Obispo,https://transparentcalifornia.com/salaries/2016/arroyo-grande/summary/,"17,842",141,65,"$72,026 ","$92,858 ","$8,447,616 ",$473 ,"$50,750 "
Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/artesia/summary/,"16,789",47,28,"$54,143 ","$69,584 ","$2,339,193 ",$139 ,"$39,828 "
Arvin,https://transcal.s3.amazonaws.com/public/export/arvin-2016.csv,2016,"2016, 2014, 2013",Kern,https://transparentcalifornia.com/salaries/2016/arvin/summary/,"20,562",64,40,"$72,202 ","$84,860 ","$4,215,425 ",$205 ,"$20,408 "
